block,vial,treatment,diet,time,censor,hours_til_death
a,15,E. faecalis,8%,14:32,1,48
a,15,E. faecalis,8%,14:32,1,96
a,15,E. faecalis,8%,14:32,0,120
a,15,E. faecalis,8%,14:32,0,120
a,15,E. faecalis,8%,14:32,0,120
a,15,E. faecalis,8%,14:32,0,120
a,16,E. faecalis,8%,14:29,1,24
a,16,E. faecalis,8%,14:29,1,48
a,16,E. faecalis,8%,14:29,1,48
a,16,E. faecalis,8%,14:29,1,48
a,16,E. faecalis,8%,14:29,1,48
a,16,E. faecalis,8%,14:29,0,120
a,16,E. faecalis,8%,14:29,0,120
a,16,E. faecalis,8%,14:29,0,120
a,16,E. faecalis,8%,14:29,0,120
a,16,E. faecalis,8%,14:29,0,120
a,17,PBS,16%,14:19,1,24
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,17,PBS,16%,14:19,0,120
a,18,E. faecalis,16%,14:00,1,24
a,18,E. faecalis,16%,14:00,1,48
a,18,E. faecalis,16%,14:00,1,48
a,18,E. faecalis,16%,14:00,1,48
a,18,E. faecalis,16%,14:00,1,96
a,18,E. faecalis,16%,14:00,0,120
a,18,E. faecalis,16%,14:00,0,120
a,18,E. faecalis,16%,14:00,0,120
a,18,E. faecalis,16%,14:00,0,120
a,18,E. faecalis,16%,14:00,0,120
a,19,E. faecalis,16%,14:08,1,24
a,19,E. faecalis,16%,14:08,1,24
a,19,E. faecalis,16%,14:08,1,48
a,19,E. faecalis,16%,14:08,1,72
a,19,E. faecalis,16%,14:08,0,120
a,19,E. faecalis,16%,14:08,0,120
a,19,E. faecalis,16%,14:08,0,120
a,19,E. faecalis,16%,14:08,0,120
a,19,E. faecalis,16%,14:08,0,120
a,19,E. faecalis,16%,14:08,0,120
a,20,E. faecalis,16%,14:05,1,24
a,20,E. faecalis,16%,14:05,1,24
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,1,48
a,20,E. faecalis,16%,14:05,0,120
a,20,E. faecalis,16%,14:05,0,120
a,21,PBS,24%,13:14,1,24
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,21,PBS,24%,13:14,0,120
a,22,E. faecalis,24%,13:26,1,24
a,22,E. faecalis,24%,13:26,1,24
a,22,E. faecalis,24%,13:26,1,24
a,22,E. faecalis,24%,13:26,1,24
a,22,E. faecalis,24%,13:26,1,48
a,22,E. faecalis,24%,13:26,0,120
a,22,E. faecalis,24%,13:26,0,120
a,22,E. faecalis,24%,13:26,0,120
a,22,E. faecalis,24%,13:26,0,120
a,22,E. faecalis,24%,13:26,0,120
a,23,E. faecalis,24%,13:15,1,24
a,23,E. faecalis,24%,13:15,1,24
a,23,E. faecalis,24%,13:15,1,48
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,23,E. faecalis,24%,13:15,0,120
a,24,E. faecalis,24%,13:20,1,24
a,24,E. faecalis,24%,13:20,1,24
a,24,E. faecalis,24%,13:20,1,24
a,24,E. faecalis,24%,13:20,1,24
a,24,E. faecalis,24%,13:20,1,24
a,24,E. faecalis,24%,13:20,1,48
a,24,E. faecalis,24%,13:20,1,48
a,24,E. faecalis,24%,13:20,1,48
a,24,E. faecalis,24%,13:20,0,120
a,24,E. faecalis,24%,13:20,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,25,PBS,0%,12:25,0,120
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,24
b,26,E. faecalis,0%,14:04,1,48
b,26,E. faecalis,0%,14:04,0,120
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,1,24
b,27,E. faecalis,0%,12:59,0,120
b,27,E. faecalis,0%,12:59,0,120
b,27,E. faecalis,0%,12:59,0,120
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,1,24
b,28,E. faecalis,0%,12:50,0,120
b,28,E. faecalis,0%,12:50,0,120
b,28,E. faecalis,0%,12:50,0,120
b,29,PBS,2%,11:59,1,24
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,29,PBS,2%,11:59,0,120
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,1,24
b,30,E. faecalis,2%,13:30,0,120
b,30,E. faecalis,2%,13:30,0,120
b,30,E. faecalis,2%,13:30,0,120
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,1,24
b,31,E. faecalis,2%,13:34,0,120
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,1,24
b,32,E. faecalis,2%,13:38,0,120
b,32,E. faecalis,2%,13:38,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,33,PBS,4%,12:11,0,120
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,24
b,34,E. faecalis,4%,14:20,1,72
b,34,E. faecalis,4%,14:20,0,120
b,34,E. faecalis,4%,14:20,0,120
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,1,24
b,35,E. faecalis,4%,14:27,0,120
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,24
b,36,E. faecalis,4%,14:21,1,48
b,36,E. faecalis,4%,14:21,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,37,PBS,8%,12:19,0,120
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
b,38,E. faecalis,8%,13:20,1,24
