Block,Diet,Day,Sample#,Mean
C,24%,1,10,37.30336134
C,24%,1,10,27.07394958
C,24%,1,10,22.75462185
C,24%,1,10,21.26890756
C,0%,1,10,29.0487395
C,0%,1,10,34.63865546
C,0%,1,10,40.06722689
C,0%,1,10,35.45210084
C,2%,1,10,37.25714286
C,2%,1,10,43.51260504
C,2%,1,10,32.63865546
C,2%,1,10,32.78151261
C,4%,1,10,23.27394958
C,4%,1,10,30.34957983
C,4%,1,10,34.02184874
C,4%,1,10,32.53613445
C,8%,1,10,23.61008403
C,8%,1,10,27.34789916
C,8%,1,10,25.55630252
C,8%,1,10,21.84369748
C,16%,1,10,24.70420168
C,16%,1,10,21.50588235
C,16%,1,10,21.68067227
C,16%,1,10,29.94957983
C,24%,1,10,22.93781513
C,24%,1,10,22.58067227
C,24%,1,10,21.2487395
C,0%,2,10,33.3394958
C,0%,2,10,59.2302521
C,0%,2,10,97.18487395
C,0%,2,10,32.32436975
C,2%,2,10,29.04033613
C,2%,2,10,29.07058824
C,2%,2,10,43.72773109
C,2%,2,10,50.33277311
C,4%,2,10,39.63529412
C,4%,2,10,27.98319328
C,4%,2,10,34.42521008
C,4%,2,10,32.60840336
C,8%,2,10,31.25210084
C,8%,2,10,31.37983193
C,8%,2,10,36.88067227
C,8%,2,10,26.90252101
C,16%,2,10,36.73613445
C,16%,2,10,30.22352941
C,16%,2,10,34.58655462
C,16%,2,10,26.11512605
C,24%,2,10,48.98319328
C,24%,2,10,33.77983193
C,24%,2,10,31.80168067
C,24%,2,10,27.25714286
C,0%,2,10,57.84705882
C,0%,2,10,64.41680672
C,0%,2,10,50.0302521
C,0%,2,10,34.88739496
C,2%,2,10,30.84201681
C,2%,2,10,34.11932773
C,2%,2,10,38.13781513
C,2%,2,10,29.97142857
C,4%,2,10,51.86386555
C,4%,2,10,28.7092437
C,4%,2,10,32.44537815
C,4%,2,10,37.22352941
C,8%,2,10,36.22184874
C,8%,2,10,28.55798319
C,8%,2,10,32.59495798
C,8%,2,10,28.81680672
C,16%,2,10,29.19831933
C,16%,2,10,29.74789916
C,16%,2,10,33.91764706
C,16%,2,10,33.54621849
C,24%,2,10,30.71092437
C,24%,2,10,30.80168067
C,24%,2,10,32.68403361
C,24%,2,10,27.45714286
