Block,Diet,Infection,Glucose,protein,glucose_std_2,glycogen,glycogen-standard,trehalose,trehalose-standard
D,16%,Serratia,4.443320915,22.8073702,0.19481952,3.31815224,0.17148011,3.279162185,0.143776426
D,16%,Serratia,1.994145822,22.2177554,0.0897546,1.83994795,0.09761083,2.939319575,0.132295973
D,16%,Serratia,4.168706759,25.0050251,0.16671476,3.30058556,0.15558092,5.486338926,0.219409455
D,2%,Naive,5.123835616,22.4197063,0.2285416,6.4625789,0.2882544,3.212867802,0.143305526
D,2%,Naive,3.565479452,26.0691615,0.13677001,5.59287647,0.21453994,2.124614961,0.081499168
D,2%,Naive,4.882191781,29.0705827,0.16794269,6.42064923,0.22086414,2.264288955,0.077889356
D,2%,Naive,3.184109589,25.3529133,0.12559147,5.50225428,0.21702651,4.38487309,0.172953421
D,2%,Providencia,3.93369863,23.9431549,0.16429325,4.22948602,0.17664698,4.102855579,0.171358186
D,2%,Providencia,2.345753425,21.6125059,0.10853686,4.42966637,0.20495848,4.188553289,0.193802297
D,2%,Providencia,3.241643836,24.5116059,0.13224935,4.2558611,0.17362637,2.261589098,0.092266052
D,2%,Serratia,2.706849315,23.8749408,0.11337617,4.72948602,0.19809415,2.614673142,0.109515377
D,2%,Serratia,3.442191781,25.3756514,0.1356494,2.12082958,0.08357735,4.630766742,0.182488586
D,2%,Serratia,3.279452055,23.3633349,0.14036746,2.80703336,0.12014695,5.122892159,0.219270587
D,2%,Serratia,3.19890411,29.3775462,0.10888942,4.0238954,0.1369718,10.61308369,0.361265152
D,2%,Serratia,3.087123288,27.8086215,0.11101317,4.62849414,0.16644098,7.701456608,0.276944925
D,16%,Naive,4.989041096,21.7830412,0.22903327,3.1528404,0.1447383,2.1044286,0.096608576
D,16%,Naive,5.046575342,23.8749408,0.21137541,3.65329125,0.15301781,4.228971514,0.177130136
D,16%,Naive,6.200547945,23.431549,0.2646239,5.68214608,0.24249981,4.763548896,0.203296372
D,16%,Naive,5.529863014,25.2505921,0.21899934,5.2993688,0.20987107,6.161335418,0.244007562
D,16%,Providencia,5.549589041,20.0322122,0.27703326,2.9012624,0.14482986,5.835473669,0.291304506
D,16%,Providencia,6.309041096,19.1567977,0.32933694,0.06627592,0.00345966,3.619531873,0.188942428
D,16%,Providencia,6.30410959,22.6243486,0.2786427,3.40306583,0.15041608,3.880674787,0.171526476
D,16%,Serratia,3.23342466,19.9981052,0.16168655,2.83904418,0.14196566,1.891431872,0.094580554
D,16%,Serratia,5.13534247,25.2846992,0.20310079,4.70018034,0.1858903,3.062822867,0.121133451
D,16%,Serratia,5.66794521,25.8531502,0.21923615,3.54102795,0.13696698,3.75550494,0.145262953
D,16%,Serratia,6.07726027,26.0236855,0.23352804,3.7696113,0.14485309,3.55199184,0.13649073
E,2%,Naive,7.816029144,17.1047266,0.456951422,6.356627986,0.371629909,0.43943427,0.025690809
E,2%,Naive,6.737704918,15.18072289,0.443832943,0.43943427,0.028946861,4.819091092,0.317448064
E,2%,Naive,7.684881603,13.82391103,0.555912259,4.819091092,0.348605477,0.377458799,0.027304776
E,2%,Naive,7.856102004,13.20111214,0.595109103,0.377458799,0.028592954,1.369456819,0.103737988
E,2%,Naive,8.061930783,25.73493976,0.31326791,1.369456819,0.053213912,0.784780656,0.030494754
E,2%,Naive,8.56284153,19.44022243,0.440470348,0.784780656,0.040368913,0.739617592,0.038045737
E,2%,Naive,8.114754098,16.43744208,0.493674993,0.739617592,0.044995906,2.324335918,0.141404965
E,2%,Naive,8.18579235,15.75903614,0.519434836,2.324335918,0.147492264,0.767876588,0.048726114
E,2%,Providencia,9.041894353,16.78220575,0.538778662,0.767876588,0.045755403,1.747560909,0.104131777
E,2%,Providencia,5.832422587,12.84522706,0.454053678,1.747560909,0.136047491,3.129811729,0.243655617
E,2%,Providencia,8.236794171,15.85912882,0.519372423,3.129811729,0.197350798,1.490516783,0.093984783
E,2%,Providencia,7.593806922,23.47729379,0.323453248,1.490516783,0.063487589,0.712280702,0.030339131
E,2%,Providencia,8.009107468,11.09916589,0.721595437,0.712280702,0.064174255,1.024988542,0.09234825
E,2%,Providencia,8.100182149,16.15940686,0.501267294,1.024988542,0.063429837,1.501094429,0.092892916
E,2%,Providencia,6.324225865,13.16774791,0.480281511,1.501094429,0.11399781,0.652594915,0.049560101
E,2%,Providencia,9.907103825,11.17701576,0.886381843,0.652594915,0.058387223,2.194658014,0.19635456
E,2%,Serratia,5.009107468,25.23447637,0.198502533,2.194658014,0.086970618,1.264596968,0.050113858
E,2%,Serratia,6.016393443,14.59128823,0.412327777,1.264596968,0.086667945,2.656605987,0.182067954
E,2%,Serratia,6.825136612,15.49212234,0.440555301,2.656605987,0.171481088,1.113191809,0.071855346
E,2%,Serratia,2.180327869,12.72289157,0.171370467,1.113191809,0.08749519,1.598531595,0.125642161
E,2%,Serratia,5.557377049,11.2326228,0.494753287,1.598531595,0.142311517,0.675169114,0.060107877
E,2%,Serratia,5.825136612,14.33549583,0.406343574,0.675169114,0.047097716,1.560818713,0.108877902
E,2%,Serratia,5.468123862,17.44949027,0.313368687,1.560818713,0.089447811,3.046783626,0.174605881
E,16%,Naive,7.138433515,11.19925857,0.637402331,3.046783626,0.272052262,0.303268621,0.027079348
E,16%,Naive,6.983606557,15.00278035,0.465487489,0.303268621,0.020214161,2.800753451,0.186682294
E,16%,Naive,8.06010929,10.79888786,0.746383275,2.800753451,0.259355731,1.95322554,0.180872842
E,16%,Naive,8.326047359,11.79981464,0.705608318,1.95322554,0.165530188,1.552550918,0.131574178
E,16%,Naive,6.220400729,10.25393883,0.606635248,1.552550918,0.151410199,1.150297897,0.112181077
E,16%,Naive,6.763205829,9.264133457,0.730041926,1.150297897,0.12416681,0.905561972,0.097749236
E,16%,Naive,5.95992714,14.31325301,0.416392216,0.905561972,0.063267377,0.224889549,0.01571198
E,16%,Naive,4.679417122,12.90083411,0.36272206,0.224889549,0.017432171,0.33148362,0.025694743
E,16%,Providencia,8.50273224,9.0639481,0.938082627,0.33148362,0.036571659,3.177620121,0.350577925
